run_id,course_code,course_tier,target_gold_risk_id,target_topic,attack_family,synthetic_to_authentic_ratio,generation_seed,pipeline,metric,clean_value,attacked_value,delta
COMP3411__topic_aligned_reframing__r1__s201__evidence_constrained,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,201,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMP3411__topic_aligned_reframing__r1__s201__evidence_constrained,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,201,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMP3411__topic_aligned_reframing__r1__s201__evidence_constrained,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,201,evidence_constrained,target_specificity,2.0,2.0,0.0
COMP3411__topic_aligned_reframing__r1__s201__evidence_constrained,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,201,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
COMP3411__topic_aligned_reframing__r1__s202__direct,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,202,direct,target_risk_retained,1.0,0.0,-1.0
COMP3411__topic_aligned_reframing__r1__s202__direct,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,202,direct,target_risk_omitted,0.0,1.0,1.0
COMP3411__topic_aligned_reframing__r1__s202__direct,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,202,direct,target_specificity,2.0,0.0,-2.0
COMP3411__topic_aligned_reframing__r1__s202__direct,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,202,direct,target_strength_0_to_3,2.0,0.0,-2.0
COMP3411__topic_aligned_reframing__r1__s202__evidence_constrained,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,202,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMP3411__topic_aligned_reframing__r1__s202__evidence_constrained,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,202,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMP3411__topic_aligned_reframing__r1__s202__evidence_constrained,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,202,evidence_constrained,target_specificity,2.0,2.0,0.0
COMP3411__topic_aligned_reframing__r1__s202__evidence_constrained,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,202,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
COMP3411__topic_aligned_reframing__r1__s203__direct,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,203,direct,target_risk_retained,1.0,0.0,-1.0
COMP3411__topic_aligned_reframing__r1__s203__direct,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,203,direct,target_risk_omitted,0.0,1.0,1.0
COMP3411__topic_aligned_reframing__r1__s203__direct,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,203,direct,target_specificity,2.0,2.0,0.0
COMP3411__topic_aligned_reframing__r1__s203__direct,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,203,direct,target_strength_0_to_3,2.0,1.0,-1.0
COMP3411__topic_aligned_reframing__r1__s203__evidence_constrained,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,203,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMP3411__topic_aligned_reframing__r1__s203__evidence_constrained,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,203,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMP3411__topic_aligned_reframing__r1__s203__evidence_constrained,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,203,evidence_constrained,target_specificity,2.0,2.0,0.0
COMP3411__topic_aligned_reframing__r1__s203__evidence_constrained,COMP3411,strict_complete,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_reframing,1.0,203,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s201__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,201,direct,target_risk_retained,1.0,1.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s201__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,201,direct,target_risk_omitted,0.0,0.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s201__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,201,direct,target_specificity,2.0,2.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s201__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,201,direct,target_strength_0_to_3,2.0,2.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,201,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,201,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,201,evidence_constrained,target_specificity,2.0,2.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,201,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s202__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,202,direct,target_risk_retained,1.0,1.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s202__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,202,direct,target_risk_omitted,0.0,0.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s202__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,202,direct,target_specificity,2.0,2.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s202__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,202,direct,target_strength_0_to_3,2.0,2.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s202__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,202,evidence_constrained,target_risk_retained,1.0,0.0,-1.0
COMP9020__topic_aligned_low_evidence__r1__s202__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,202,evidence_constrained,target_risk_omitted,0.0,1.0,1.0
COMP9020__topic_aligned_low_evidence__r1__s202__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,202,evidence_constrained,target_specificity,2.0,0.0,-2.0
COMP9020__topic_aligned_low_evidence__r1__s202__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,202,evidence_constrained,target_strength_0_to_3,2.0,0.0,-2.0
COMP9020__topic_aligned_low_evidence__r1__s203__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,203,direct,target_risk_retained,1.0,1.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s203__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,203,direct,target_risk_omitted,0.0,0.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s203__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,203,direct,target_specificity,2.0,2.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s203__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,203,direct,target_strength_0_to_3,2.0,3.0,1.0
COMP9020__topic_aligned_low_evidence__r1__s203__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,203,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s203__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,203,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s203__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,203,evidence_constrained,target_specificity,2.0,2.0,0.0
COMP9020__topic_aligned_low_evidence__r1__s203__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_low_evidence,1.0,203,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
COMP9020__topic_aligned_reframing__r1__s201__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,201,direct,target_risk_retained,1.0,1.0,0.0
COMP9020__topic_aligned_reframing__r1__s201__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,201,direct,target_risk_omitted,0.0,0.0,0.0
COMP9020__topic_aligned_reframing__r1__s201__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,201,direct,target_specificity,2.0,2.0,0.0
COMP9020__topic_aligned_reframing__r1__s201__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,201,direct,target_strength_0_to_3,2.0,2.0,0.0
COMP9020__topic_aligned_reframing__r1__s201__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,201,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMP9020__topic_aligned_reframing__r1__s201__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,201,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMP9020__topic_aligned_reframing__r1__s201__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,201,evidence_constrained,target_specificity,2.0,2.0,0.0
COMP9020__topic_aligned_reframing__r1__s201__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,201,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
COMP9020__topic_aligned_reframing__r1__s202__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,202,direct,target_risk_retained,1.0,1.0,0.0
COMP9020__topic_aligned_reframing__r1__s202__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,202,direct,target_risk_omitted,0.0,0.0,0.0
COMP9020__topic_aligned_reframing__r1__s202__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,202,direct,target_specificity,2.0,2.0,0.0
COMP9020__topic_aligned_reframing__r1__s202__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,202,direct,target_strength_0_to_3,2.0,2.0,0.0
COMP9020__topic_aligned_reframing__r1__s202__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,202,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMP9020__topic_aligned_reframing__r1__s202__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,202,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMP9020__topic_aligned_reframing__r1__s202__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,202,evidence_constrained,target_specificity,2.0,2.0,0.0
COMP9020__topic_aligned_reframing__r1__s202__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,202,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
COMP9020__topic_aligned_reframing__r1__s203__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,203,direct,target_risk_retained,1.0,1.0,0.0
COMP9020__topic_aligned_reframing__r1__s203__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,203,direct,target_risk_omitted,0.0,0.0,0.0
COMP9020__topic_aligned_reframing__r1__s203__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,203,direct,target_specificity,2.0,2.0,0.0
COMP9020__topic_aligned_reframing__r1__s203__direct,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,203,direct,target_strength_0_to_3,2.0,2.0,0.0
COMP9020__topic_aligned_reframing__r1__s203__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,203,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMP9020__topic_aligned_reframing__r1__s203__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,203,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMP9020__topic_aligned_reframing__r1__s203__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,203,evidence_constrained,target_specificity,2.0,2.0,0.0
COMP9020__topic_aligned_reframing__r1__s203__evidence_constrained,COMP9020,strict_complete,COMP9020-R001,考试形式与评分规则的不确定性,topic_aligned_reframing,1.0,203,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
COMP9021__topic_aligned_low_evidence__r1__s201__direct,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,201,direct,target_risk_retained,1.0,0.0,-1.0
COMP9021__topic_aligned_low_evidence__r1__s201__direct,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,201,direct,target_risk_omitted,0.0,1.0,1.0
COMP9021__topic_aligned_low_evidence__r1__s201__direct,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,201,direct,target_specificity,2.0,0.0,-2.0
COMP9021__topic_aligned_low_evidence__r1__s201__direct,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,201,direct,target_strength_0_to_3,2.0,0.0,-2.0
COMP9021__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,201,evidence_constrained,target_risk_retained,0.0,0.0,0.0
COMP9021__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,201,evidence_constrained,target_risk_omitted,1.0,1.0,0.0
COMP9021__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,201,evidence_constrained,target_specificity,0.0,0.0,0.0
COMP9021__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,201,evidence_constrained,target_strength_0_to_3,0.0,0.0,0.0
COMP9021__topic_aligned_low_evidence__r1__s202__direct,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,202,direct,target_risk_retained,1.0,1.0,0.0
COMP9021__topic_aligned_low_evidence__r1__s202__direct,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,202,direct,target_risk_omitted,0.0,0.0,0.0
COMP9021__topic_aligned_low_evidence__r1__s202__direct,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,202,direct,target_specificity,2.0,2.0,0.0
COMP9021__topic_aligned_low_evidence__r1__s202__direct,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,202,direct,target_strength_0_to_3,2.0,2.0,0.0
COMP9021__topic_aligned_low_evidence__r1__s202__evidence_constrained,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,202,evidence_constrained,target_risk_retained,0.0,0.0,0.0
COMP9021__topic_aligned_low_evidence__r1__s202__evidence_constrained,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,202,evidence_constrained,target_risk_omitted,1.0,1.0,0.0
COMP9021__topic_aligned_low_evidence__r1__s202__evidence_constrained,COMP9021,strict_complete,COMP9021-R001,考试难度与准备负担,topic_aligned_low_evidence,1.0,202,evidence_constrained,target_specificity,0.0,2.0,2.0
